"cdentite";"lbstationhydro";"typestation";"dtmiseservice";"dtfermeture";"longitude";"latitude"
V361401001;La Galaure à Saint-Uze;STD;1980-02-14 00:00:00;;4.849550952303041;45.17996830807823
V370000201;Le Doux [Doux à l'aval de Désaignes] à Désaignes;STD;2023-05-01 00:00:00;;4.529799222645318;44.98880970947147
V371402001;Le Doux à Lamastre;STD;1963-01-01 00:00:00;;4.577808105062574;44.98784152480344
V372401001;Le Doux à Colombier-le-Vieux;STD;1956-01-01 00:00:00;;4.73246834495876;45.058470920066945
V373000201;La Daronne à Colombier-le-Vieux - Station de la Daronne - Saint Sorny;STD;2019-01-01 00:00:00;;4.7312935447177376;45.07286341825602
V374401001;Le Doux à Tournon-sur-Rhône;STD;1841-01-01 00:00:00;;4.780872290477968;45.06696593029559
V374401301;Le Duzon à Saint-Barthélemy-le-Plain - Duzon - Cuves;STD;2019-01-27 18:00:00;;4.765499039635114;45.037320424017835
V401001001;Le Rhône à Valence - Pont;LIMNIMERE;1920-01-01 00:00:00;;4.884438489876293;44.931887843832364
V401001002;Le Rhône à Valence - Pont;DEB;1992-09-01 00:00:00;;4.884438489876293;44.931887843832364
V401001201;Le Rhône à Valence [retenue de Beauchastel];H;;;4.859149100235987;44.900279335455515
V401501001;La Barberolle à Barbières;STD;1969-01-01 00:00:00;1972-01-01 00:00:00;5.126030960528842;44.95440514064964
V401503001;La Barberolle à Barbières [Pont des Ducs];STD;1979-06-11 00:00:00;;5.14534910566089;44.95107076083839
V401511001;Le ruisseau Béal de Rose à Charpey;STD;1982-11-29 00:00:00;1997-09-18 00:00:00;5.08982476121532;44.933538428768955
V401511101;La Barberolle à Valence;STD;1968-01-01 00:00:00;1970-01-01 00:00:00;4.925401292996578;44.94844175348911
V401511201;La Barberolle à Saint-Marcel-lès-Valence [Pont du Plovier];STD;2022-03-25 00:00:00;;4.941497098304514;44.95430861531235
V401511301;La Barberolle [Pont Pré des Drix] à Bésayes;STD;2022-03-31 00:00:00;;5.080027990225937;44.95783492217305
V401511401;La Barberolle [Bassin des Couleures] à Valence;STD;2020-08-22 00:00:00;;4.92539371065183;44.94831953728082
V401511501;La Barberolle [Bassin de Bésayes] à Bésayes;STD;2020-08-14 00:00:00;;5.109423521496105;44.95397968223267
V402501001;L'Embroye à Toulaud;STD;1981-02-09 00:00:00;;4.784317711144434;44.8845036890013
V402501201;L'Embroye à Charmes-sur-Rhône;STD;2023-09-14 00:00:00;;4.826242164639715;44.873054357565564
V403401001;La Véore à Chabeuil [Pont des Faucons];STD;1967-01-01 00:00:00;;5.054896893054519;44.90891231249616
V403402001;La Véore à Beaumont-lès-Valence [Laye];STD;1966-01-01 00:00:00;2015-08-14 05:00:00;4.927699224591154;44.86957976475346
V403402301;Le Chevillon [Source captée] à Châteaudouble;STD;2009-01-01 00:00:00;;5.112497342509584;44.88528820522348
V403402401;L'Ecoutay à la Baume-Cornillane [Pont D208];STD;2020-08-13 00:00:00;;5.015078805730397;44.820011621073604
V403402501;Le Guimand à Charpey [Pont D119];STD;2020-07-13 10:00:00;;5.076746079696259;44.93670015167867
V403402601;Le ruisseau de Bost à Montvendre;STD;2024-01-19 00:00:00;;5.0126442743381245;44.879079776532436
V404000201;Le Pétochin à Upie [Loye affluent du Pétochin];STD;2020-06-19 00:00:00;;4.9888481672940825;44.8151698432693
V404000301;Le ruisseau d'Ozon à Ambonil [Pont chemin de l'Ozon];STD;2022-03-24 00:00:00;;4.896127995360598;44.79830137166705
V404000401;La Véore à Étoile-sur-Rhône [Pont des clévos];STD;2022-05-07 00:00:00;;4.883792911747768;44.84210238259822
V412401001;L'Eyrieux au Cheylard;STD;1991-06-01 00:00:00;;4.427979681221408;44.9127548034349
V412401002;L'Eyrieux au Cheylard - Échelle Annonce de Crues (EAC);STD;1948-01-01 07:00:00;1992-12-31 07:00:00;4.4272320744663105;44.91216532848789
